date,description,debit,credit,balance,transaction_id
2024-01-06,UPI/MOB/327927528967/Payment from PhonePe,,600.0,600.0,
2024-01-06,ATM-NFS/CASH WITHDRAWAL/+KADU ODI/327908006519/SEL,500.0,,100.0,
2024-01-08,UPI/MOB/328145544094/Payment from PhonePe,,500.0,600.0,
2024-01-08,ATM-NFS/CASH WITHDRAWAL/+KADU ODI/328117005806/SEL,500.0,,100.0,
2024-01-09,NEFT/CMS3633758558/AFORESERVE COM LTD/ICIC0099999,,8409.0,8509.0,
2024-01-09,UPI/MOB/328263232576/Payment from PhonePe,,1293.0,9802.0,
2024-01-09,UPI/MOB/328238828179/Payment from PhonePe,,310.0,10112.0,
2024-01-09,UPI/MOB/328262527642/Payment from PhonePe,194.0,,9918.0,
2024-01-10,UPI/MOB/328326850207/Payment from PhonePe,60.0,,9858.0,
2024-01-10,UPI/MOB/328325075826/Payment from PhonePe,1045.0,,8813.0,
2024-01-10,UPI/MOB/328354614490/Payment f rom PhonePe,150.0,,8663.0,
2024-01-10,UPI/MOB/328392075476/Payment f rom PhonePe,100.0,,8563.0,
2024-01-10,UPI/MOB/328328155661/Payment f rom PhonePe,30.0,,8533.0,
2024-01-11,UPI/MOB/328468752808/Payment f rom PhonePe,150.0,,8383.0,
2024-01-11,UPI/MOB/328412869084/Payment f rom PhonePe,35.0,,8348.0,
2024-01-11,UPI/MOB/328498612682/Payment f rom PhonePe,1300.0,,7048.0,
2024-01-12,UPI/MOB/328583928518/Payment f rom PhonePe,,383.0,7431.0,
2024-01-12,UPI/MOB/328556881473/Payment f rom PhonePe,1183.0,,6248.0,
2024-01-12,UPI/MOB/328542960606/Payment f rom PhonePe,191.0,,6057.0,
2024-01-12,ATM-NFS/CASH WITHDRAWAL/+KADU ODI/328519023391/SEL,500.0,,5557.0,
2024-01-12,UPI/MOB/328576376627/Payment f rom PhonePe,438.0,,5119.0,
2024-01-13,UPI/MOB/328638410645/Payment f rom PhonePe,145.0,,4974.0,
2024-01-13,UPI/MOB/328676831650/Payment f rom PhonePe,717.0,,4257.0,
2024-01-15,UPI/MOB/328881198766/Payment f rom PhonePe,800.0,,3457.0,
2024-01-15,UPI/MOB/328894155620/Payment f rom PhonePe,2000.0,,1457.0,
2024-01-18,UPI/MOB/329154146632/Payment f rom PhonePe,92.0,,1365.0,
2024-01-18,ATM-NFS/CASH WITHDRAWAL/+KADU ODI/329119016419/SEL,500.0,,865.0,
2024-01-20,UPI/MOB/329379631559/Payment f rom PhonePe,141.0,,724.0,
2024-01-21,UPI/MOB/329407386226/Payment f rom PhonePe,100.0,,624.0,
2024-01-22,UPI/MOB/329522264956/Payment f rom PhonePe,135.0,,489.0,
2024-01-23,UPI/MOB/329639316686/PayviaRazorpay,106.0,,383.0,
2024-01-24,UPI/MOB/329753595715/Payment f rom PhonePe,95.0,,288.0,
2024-01-24,UPI/MOB/329736027495/Payment f rom PhonePe,30.0,,258.0,
2024-01-24,UPI/MOB/329775374446/Payment f rom PhonePe,55.0,,203.0,
2024-01-24,UPI/MOB/329792502253/Payment from PhonePe,15.0,,188.0,
2024-01-24,UPI/MOB/329770819148/Payment from PhonePe,,500.0,688.0,
2024-01-24,ATM-NFS/CASH WITHDRAWAL/+KADU ODI/329720016815/SEL,500.0,,188.0,
2024-01-24,UPI/MOB/329792502253/Payment f rom PhonePe,15.0,,188.0,
2024-01-24,UPI/MOB/329770819148/Payment f rom PhonePe,,500.0,688.0,
2024-01-25,UPI/MOB/329803272924/Payment from PhonePe,35.0,,153.0,
2024-01-25,UPI/MOB/329803272924/Payment f rom PhonePe,35.0,,153.0,
2024-01-29,UPI/MOB/330264835812/Payment from PhonePe,40.0,,113.0,
2024-01-29,UPI/MOB/330264835812/Payment f rom PhonePe,40.0,,113.0,
2024-01-31,MONTHLY SAVINGS INTEREST CREDIT,,4.0,117.0,
